city;property_type;area_sqm;rooms;floor;floor_count;build_year;latitude;longitude;distance_to_center;poi_count;distance_to_school;distance_to_healthcare;distance_to_post_office;distance_to_kindergarten;distance_to_restaurant;distance_to_college;distance_to_pharmacy;ownership_type;building_material;condition;has_parking;has_balcony;has_elevator;has_security;has_storage;price;listing_year;listing_month;address;price_per_sqm;source_dataset;property_description;heating_type;source_url;voivodeship;offer_type;building_type;market_type;city_population;maintenance_fee;available_from;advertiser_type;additional_info;window_type;energy_certificate;furnishing;utilities;quarter;primary_price;secondary_price;inflation;housing_inflation;avg_salary;population;unemployment;interest_rate
lodz;blockOfFlats;51.11;2.0;4.0;4.0;1982.0;51.7325;19.46527778;5.5;17.0;0.143;0.606;0.345;0.086;0.438;0.353;0.239;condominium;concreteSlab;low;no;yes;no;no;yes;329000.0;2023;8;;6437.096458618666;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;43.19;2.0;;4.0;1980.0;51.7807754958807;19.5293034371326;5.13;7.0;0.311;2.651;0.256;0.427;1.876;1.227;0.211;cooperative;concreteSlab;low;no;yes;no;no;yes;299000.0;2023;8;;6922.898819171105;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;;88.9;3.0;1.0;1.0;;51.772930621513;19.4640648288309;1.15;26.0;0.161;0.543;0.167;0.253;0.09;0.544;0.166;condominium;;;no;no;no;no;no;760000.0;2023;8;;8548.931383577052;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;45.0;2.0;5.0;10.0;1975.0;51.7318221484774;19.4868757399129;5.95;17.0;0.197;1.027;0.107;0.192;0.373;1.3;0.113;condominium;concreteSlab;;yes;yes;yes;no;yes;355000.0;2023;8;;7888.888888888889;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;47.0;2.0;9.0;11.0;1977.0;51.7952812709264;19.4445666316731;1.68;17.0;0.28;0.95;0.317;0.124;0.17;1.133;0.133;cooperative;;premium;yes;yes;yes;no;yes;360000.0;2023;8;;7659.574468085107;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;42.42;2.0;3.0;4.0;1973.0;51.7406595972566;19.396107861511;6.08;22.0;0.177;0.636;0.401;0.236;0.288;3.89;0.274;condominium;concreteSlab;;no;yes;no;no;yes;385000.0;2023;8;;9075.907590759076;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;42.0;2.0;4.0;4.0;;51.7920727783063;19.4652920594168;1.38;11.0;0.054;0.792;0.345;0.188;0.561;1.234;0.32;condominium;brick;low;no;no;;no;no;250000.0;2023;8;;5952.380952380952;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;63.38;3.0;7.0;10.0;;51.7563847030473;19.5269311630616;5.7;20.0;0.112;0.436;0.203;0.079;0.316;1.817;0.36;cooperative;;;no;yes;yes;no;yes;419500.0;2023;8;;6618.807194698643;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;34.0;1.0;3.0;4.0;1962.0;51.7480594020541;19.4852310878488;4.27;9.0;0.222;0.435;0.623;0.175;0.262;1.908;0.084;cooperative;brick;;yes;no;no;no;yes;275000.0;2023;8;;8088.235294117647;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;53.0;3.0;3.0;4.0;;51.7447111195735;19.3829611787064;6.42;12.0;0.463;0.976;0.501;0.408;0.301;4.844;0.247;condominium;concreteSlab;;no;yes;no;no;yes;430000.0;2023;8;;8113.207547169812;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;36.0;2.0;2.0;2.0;;51.7314629869419;19.4968318682925;6.27;20.0;0.182;1.467;0.576;0.134;0.234;1.976;0.037;condominium;;;no;no;no;no;yes;292000.0;2023;8;;8111.111111111111;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;60.0;2.0;;4.0;2012.0;51.8156069503793;19.4443753895228;3.86;5.0;0.516;0.473;0.576;0.444;0.635;3.393;0.365;condominium;brick;premium;yes;yes;yes;yes;no;499999.00000000006;2023;8;;8333.316666666668;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;tenement;39.5;2.0;1.0;1.0;;51.7473050395137;19.4728348530432;4.0;5.0;0.133;0.163;0.971;0.511;0.614;1.062;0.324;condominium;brick;premium;no;yes;no;no;yes;220000.0;2023;8;;5569.620253164557;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;68.0;3.0;;4.0;;51.8073135884283;19.3226668426079;9.53;3.0;0.255;1.99;0.13;0.232;0.514;;0.539;condominium;brick;;yes;no;no;yes;no;460000.0;2023;8;;6764.705882352941;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;48.0;3.0;2.0;4.0;1970.0;51.7426;19.4963;5.19;16.0;0.087;1.368;0.568;0.186;0.272;2.392;0.142;condominium;concreteSlab;;yes;yes;no;no;yes;320000.0;2023;8;;6666.666666666667;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;;51.0;2.0;;4.0;2021.0;51.74819;19.46742;3.81;9.0;0.236;0.457;0.803;0.128;0.231;0.682;0.51;condominium;;;no;yes;no;no;no;603000.0;2023;8;;11823.529411764706;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;;72.0;3.0;5.0;7.0;;51.7886;19.46508;1.06;18.0;0.168;0.726;0.022;0.086;0.422;0.893;0.045;condominium;;;no;no;yes;no;no;506000.0;2023;8;;7027.777777777777;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;tenement;113.0;4.0;5.0;5.0;;51.7664;19.4662;1.85;14.0;0.347;0.705;0.047;0.337;0.083;0.25;0.577;condominium;brick;;yes;yes;yes;yes;yes;695000.0;2023;8;;6150.442477876106;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;52.64;2.0;;6.0;2022.0;51.74863;19.46969;3.8;7.0;0.246;0.299;0.928;0.288;0.388;0.838;0.454;condominium;brick;;no;yes;yes;yes;no;640000.0;2023;8;;12158.0547112462;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;75.63;3.0;3.0;6.0;2011.0;51.765;19.439;2.13;7.0;0.298;0.496;0.496;0.275;0.372;1.947;0.208;condominium;brick;;no;yes;yes;no;no;750000.0;2023;8;;9916.699722332409;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;70.4;4.0;4.0;10.0;;51.7457489;19.4374833;4.15;3.0;0.735;1.05;0.993;0.775;0.458;1.117;0.575;cooperative;concreteSlab;;yes;yes;yes;no;yes;585000.0;2023;8;;8309.65909090909;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;32.1;1.0;4.0;4.0;1960.0;51.7837101;19.429617;1.75;12.0;0.188;0.654;0.502;0.135;0.696;0.778;0.298;condominium;brick;;no;yes;no;no;no;255000.0;2023;8;;7943.92523364486;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;65.0;3.0;13.0;15.0;1978.0;51.75756;19.4616;2.7;49.0;0.089;0.205;0.312;0.37;0.165;0.84;0.236;condominium;concreteSlab;;no;yes;yes;no;no;429000.0;2023;8;;6600.0;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;52.63;2.0;2.0;3.0;1959.0;51.7449;19.4517;4.08;8.0;0.426;1.482;0.772;0.733;0.21;0.42;0.731;condominium;brick;low;no;no;no;no;no;370000.0;2023;8;;7030.210906327189;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;53.0;3.0;;4.0;1966.0;51.7459;19.3924;5.84;30.0;0.261;0.313;0.223;0.065;0.243;4.186;0.175;cooperative;concreteSlab;;no;no;no;no;no;449000.0;2023;8;;8471.698113207547;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;60.01;3.0;3.0;3.0;2022.0;51.7109;19.495;8.33;2.0;0.384;0.967;0.816;0.524;0.683;2.804;0.203;condominium;brick;premium;no;yes;yes;no;no;759000.0;2023;8;;12647.892017997001;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
